source_id,file_name,issuer,title,version_or_publication,effective_from,effective_to,retrieved_on,bytes,sha256,canonical_url,status
SRC-DP3-2026-400NG,2026-400ng-final.pdf,USTRANSCOM,Defense Personal Property Program Domestic 400NG Tariff - 2026,2025-12-05,2026-05-15,2027-05-14,2026-08-03,2636580,D54DF042464BFFF66D9D838F37E403D4DB0C555B0B9CC9D5B780EB8873D13DB6,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0840%2B2026_Business_Rules/2026%20400NG%20%285%20Dec%2025%29%20Final.pdf,archived
SRC-DP3-2026-TOS-C1,2026-tender-of-service-change-1.pdf,USTRANSCOM,DP3 HHG Tender of Service 2026 Change 1,2026-02-18,2026-05-15,2027-05-14,2026-08-03,1212551,74F31F786109914BD97BAA1399C247CAF2326066DC372AA449E430F03C79EDE5,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0840%2B2026_Business_Rules/2026%20Tender%20of%20Service%20Change%201%20%2818%20Feb%202026%29.pdf,archived
SRC-DTR-IV-AAA,dtr-part-iv-appendix-a-a-tpps.pdf,USTRANSCOM,Defense Transportation Regulation Part IV Appendix A-A Third Party Payment System,2026-02-04,,,2026-08-03,2853245,483D96CCE633B75E984E8803F0C3774AD51D0069A6E67C29E8BCE2E747E983D6,https://www.business.ustranscom.mil/dtr/part-iv/dtr_part_iv_app_A-A.pdf,archived
SRC-DP3-2026-RATES,400ng-baseline-rates.zip,USTRANSCOM,400NG Baseline Rates,2026,2026-05-15,2027-05-14,2026-08-03,178599,BF1DFDE110DF8BC1CC2A8E7FCC623B5E01661E29F06E83A498FA167788CDF150,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0840+2026_Business_Rules/400NG%20Baseline%20Rates.zip,archived
SRC-DP3-2026-TRANSIT,2026-transit-time-tables.zip,USTRANSCOM,2026 Domestic and International Transit Time Tables,2025-12-08,2026-05-15,,2026-08-03,674386,5CAE983DC23C8ECECD18CEE3EAFF94FB23E61A8935BF59A9A148A0F663C7268B,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0150+TRANSIT_TIME/2026-USTC%20Dom-Intern%20Transit%20Time%20Tables-%20Effective%20Date%2015%20May%202026%20-%208%20Dec%2025-Final.zip,archived
SRC-DP3-ITEM-CODES,item-code-listing-2022-08-12.zip,USTRANSCOM,Item Code Listing,2022-08-12,,,2026-08-03,73847,3D0D59AE89406E063A6F4A1FA460B74766B1FC15C670CE68E6261469817013CE,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0900+Household_Goods/Item%20Code%20Listing%20%2812%20Aug%202022%29.zip,archived
SRC-DP3-LIBRARY-SNAPSHOT-2026-08-03,ustranscom-dp3-library-2026-08-03.html,USTRANSCOM,Defense Personal Property Program Public Library Snapshot,2026-08-03,,,2026-08-03,374079,0474F523B827DBEE09CC676AF3177AB6DC33E6F4DAB9640ADFEAE95BCC2150E5,https://www.business.ustranscom.mil/dp3/pdfs.cfm,archived
SRC-DP3-MILEAGE-SIT,dps-mileage-transit-time-sit-tool.xlsx,USTRANSCOM,DPS Mileage Transit Time SIT Tool,current at retrieval,,,2026-08-03,2902386,04E62CC2EFAF98FC18536EDBF948BAE6FA3956A9A9FEC86DB1A68BAAA3318DE4,https://www.business.ustranscom.mil/dp3/docs/otherpdfs/0900+Household_Goods/DPS%20Mileage%20Transit%20Time%20SIT%20Tool.xlsx,archived
SRC-DTR-IV-A402,dtr-part-iv-chapter-a-402-shipment-management.pdf,USTRANSCOM,Defense Transportation Regulation Part IV Chapter A-402 Shipment Management,2026-07-14,,,2026-08-03,703029,A0005106CFA6909E8C02C60063FEB55B127FE24C52EA6C7E6649723DFDCBE46A,https://www.business.ustranscom.mil/dtr/part-iv/dtr_part_iv_A_402.pdf,archived
SRC-DTR-IV-A413,dtr-part-iv-chapter-a-413-government-bill-of-lading.pdf,USTRANSCOM,Defense Transportation Regulation Part IV Chapter A-413 Government Bill of Lading,2026-02-04,,,2026-08-03,1695999,3719C996CD8151F4CF21395C33E178990ED364B7CCCFCA73159D1EAB89C18AD6,https://www.business.ustranscom.mil/dtr/part-iv/dtr_part_iv_A_413.pdf,archived
